Drop 1:(mag, ax,ay,az,e,n,alt,activation)
283, 1.0129492, -0.13330485, -0.14453566, 0.99368267, 0, 0, 0, 0
284, 1.0129492, -0.13330485, -0.14453566, 0.99368267, 0, 0, 0, 0
285, 1.0153551, -0.09131138, -0.17969298, 0.99514756, 0, 0, 0, 0
286, 1.0153551, -0.09131138, -0.17969298, 0.99514756, 0, 0, 0, 0
287, 0.45917549, -0.1020539, -0.43897824, 0.087893307, 0, 0, 0, 0
288, 0.45917549, -0.1020539, -0.43897824, 0.087893307, 0, 0, 0, 0
289, 0.35269587, -0.16406751, -0.30176702, 0.080080569, 0, 0, 0, 0
290, 0.35269587, -0.16406751, -0.30176702, 0.080080569, 0, 0, 0, 0
291, 0.35755717, -0.16357921, -0.3046968, 0.090823084, 0, 0, 0, 0
292, 0.35755717, -0.16357921, -0.3046968, 0.090823084, 0, 0, 0, 0
293, 0.35674704, -0.16016114, -0.30030213, 0.10693686, 0, 0, 0, 0
294, 0.35674704, -0.16016114, -0.30030213, 0.10693686, 0, 0, 0, 0
295, 0.36553166, -0.16211432, -0.30323191, 0.12402722, 0, 0, 0, 0
296, 0.36553166, -0.16211432, -0.30323191, 0.12402722, 0, 0, 0, 0
297, 4.9453131, -0.013672292, 0.64552751, 4.9029817, 0, 0, 0, 0
298, 4.9453131, -0.013672292, 0.64552751, 4.9029817, 0, 0, 0, 0
299, 0.3373455, -0.16064943, -0.29541917, 0.026856288, 0, 0, 0, 0
300, 0.3373455, -0.16064943, -0.29541917, 0.026856288, 0, 0, 0, 0
301, 0.34632626, -0.16260262, -0.29932554, 0.062501907, 0, 0, 0, 0





Drop 2:
427, 1.0970524, -0.14648885, -0.23487045, 1.0615558, 0, 0, 0, 0
428, 1.0970524, -0.14648885, -0.23487045, 1.0615558, 0, 0, 0, 0
429, 1.1010126, -0.16406751, -0.26416822, 1.0561846, 0, 0, 0, 0
430, 1.1010126, -0.16406751, -0.26416822, 1.0561846, 0, 0, 0, 0
431, 1.1103221, -0.17139195, -0.26905118, 1.063509, 0, 0, 0, 0
432, 1.1103221, -0.17139195, -0.26905118, 1.063509, 0, 0, 0, 0
433, 0.73435764, -0.093264565, -0.31299783, 0.65773492, 0, 0, 0, 0
434, 0.73435764, -0.093264565, -0.31299783, 0.65773492, 0, 0, 0, 0
435, 0.35174884, -0.16162603, -0.30323191, 0.075197607, 0, 0, 0, 0
436, 0.35174884, -0.16162603, -0.30323191, 0.075197607, 0, 0, 0, 0
437, 0.35286788, -0.16064943, -0.30274361, 0.083986938, 0, 0, 0, 0
438, 0.35286788, -0.16064943, -0.30274361, 0.083986938, 0, 0, 0, 0
439, 0.35417901, -0.16064943, -0.30079043, 0.095706046, 0, 0, 0, 0
440, 0.35417901, -0.16064943, -0.30079043, 0.095706046, 0, 0, 0, 0
441, 0.3588196, -0.15869625, -0.30176702, 0.11181982, 0, 0, 0, 0
442, 0.3588196, -0.15869625, -0.30176702, 0.11181982, 0, 0, 0, 0
443, 0.36589285, -0.15625477, -0.30127873, 0.13672292, 0, 0, 0, 0
444, 0.36589285, -0.15625477, -0.30127873, 0.13672292, 0, 0, 0, 0
445, 1.6562329, 0.32911161, 0.16016114, 1.6152837, 0, 0, 0, 0
446, 1.6562329, 0.32911161, 0.16016114, 1.6152837, 0, 0, 0, 0
447, 0.35157492, -0.17090365, -0.30664998, 0.01904355, 0, 0, 0, 0
448, 0.35157492, -0.17090365, -0.30664998, 0.01904355, 0, 0, 0, 0
449, 0.54191304, -0.16309091, -0.49903867, 0.13428144, 0, 0, 0, 0
450, 0.54191304, -0.16309091, -0.49903867, 0.13428144, 0, 0, 0, 0
451, 0.8672607, -0.21973327, -0.83205664, 0.10742515, 0, 0, 0, 0
